# Weather station Sofia (weather station), Bulgaria, WMO_ID=15614,selection from 16.01.2017 till 16.01.2018, all days
# Encoding: UTF-8
# The data are provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=15614&lang=en
#
"Local time in Sofia (weather station)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.11.2017 08:00";"4.2";"716.4";"770.3";"0.5";"63";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"3.5";"5.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1500-2000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"-2.4";"No precipitation";"12";"";"";"";"";
"01.11.2017 05:00";"4.6";"715.9";"769.8";"0.0";"64";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"3.9";"5.4";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-1.8";"";"";"";"";"";"";
"01.11.2017 02:00";"5.0";"715.9";"769.6";"0.2";"60";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"3.9";"5.4";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-2.3";"No precipitation";"6";"";"";"";"";
"31.10.2017 23:00";"4.9";"715.7";"769.5";"0.7";"60";"Wind blowing from the west";"3";"";"";"40%.";" ";"";"";"3.9";"5.4";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-2.4";"";"";"";"";"";"";
"31.10.2017 20:00";"5.2";"715.0";"768.7";"0.2";"53";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"3.0";"8.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-3.7";"No precipitation";"12";"";"";"";"";
"31.10.2017 17:00";"6.6";"714.8";"768.2";"-0.1";"34";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"3.0";"8.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"27.0";"-8.1";"";"";"";"";"";"";
"31.10.2017 14:00";"8.0";"714.9";"768.0";"-0.4";"38";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"3.0";"8.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"27.0";"-5.5";"No precipitation";"6";"";"";"";"";
"31.10.2017 11:00";"6.0";"715.3";"768.9";"0.7";"35";"Wind blowing from the west";"3";"";"";"10%  or less, but not 0";" ";"";"";"3.0";"6.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"27.0";"-8.3";"";"";"";"";"";"";
"31.10.2017 08:00";"3.2";"714.6";"768.6";"0.5";"52";"Wind blowing from the north-west";"6";"";"";"10%  or less, but not 0";" ";"";"";"2.5";"6.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"-5.9";"No precipitation";"12";"";"";"";"";
"31.10.2017 05:00";"3.8";"714.1";"767.9";"0.7";"53";"Wind blowing from the west-northwest";"5";"";"";"10%  or less, but not 0";" ";"";"";"3.4";"6.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-5.0";"";"";"";"";"";"";
"31.10.2017 02:00";"5.0";"713.4";"766.9";"0.6";"53";"Wind blowing from the west-northwest";"4";"";"";"20–30%.";" ";"";"";"4.5";"6.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-4.0";"No precipitation";"6";"";"";"";"";
"30.10.2017 23:00";"5.5";"712.8";"766.3";"";"41";"Wind blowing from the west-northwest";"5";"";"";"10%  or less, but not 0";" ";"";"";"4.5";"6.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-6.8";"";"";"";"";"";"";
"30.10.2017 14:00";"8.2";"708.5";"761.1";"0.5";"46";"Wind blowing from the west";"5";"";"";"60%.";" ";"";"";"5.8";"8.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"24.0";"-2.8";"No precipitation";"6";"";"";"";"";
"30.10.2017 11:00";"7.6";"708.0";"760.6";"2.2";"46";"Wind blowing from the west";"5";"";"15";"40%.";" ";"";"";"5.8";"7.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"24.0";"-3.3";"";"";"";"";"";"";
"30.10.2017 08:00";"5.8";"705.8";"758.6";"1.0";"62";"Wind blowing from the west";"5";"";"";"40%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"4.2";"14.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"-0.9";"0.6";"12";"";"";"";"";
"30.10.2017 05:00";"5.8";"704.8";"757.5";"0.8";"68";"Wind blowing from the west";"4";"";"15";"40%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"4.2";"14.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"0.3";"";"";"";"";"";"";
"30.10.2017 02:00";"7.4";"704.0";"756.4";"0.0";"60";"Wind blowing from the west";"5";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"5.5";"14.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"0.0";"0.4";"6";"";"";"";"";
"29.10.2017 23:00";"5.8";"704.0";"756.7";"4.7";"80";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"5.6";"14.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"2.5";"";"";"";"";"";"";
"29.10.2017 20:00";"13.8";"699.3";"750.1";"1.0";"32";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"4.0";"14.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"25.0";"-2.8";"No precipitation";"12";"";"";"";"";
"29.10.2017 17:00";"13.4";"698.3";"749.2";"-2.6";"35";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"4.0";"14.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"-2.0";"";"";"";"";"";"";
"29.10.2017 14:00";"13.2";"700.9";"752.0";"-3.6";"38";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"4.0";"14.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"-1.0";"No precipitation";"6";"";"";"";"";
"29.10.2017 11:00";"11.8";"704.5";"756.1";"-1.5";"34";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"4.0";"11.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"-3.5";"";"";"";"";"";"";
"29.10.2017 08:00";"4.4";"706.0";"759.1";"-0.7";"85";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"3.9";"8.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"18.0";"2.0";"No precipitation";"12";"";"";"";"";
"29.10.2017 05:00";"6.7";"706.7";"759.4";"-0.6";"65";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"5.2";"8.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"0.6";"";"";"";"";"";"";
"29.10.2017 02:00";"7.2";"707.3";"760.0";"-0.1";"70";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"5.2";"8.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"2.0";"No precipitation";"6";"";"";"";"";
"28.10.2017 23:00";"6.0";"707.4";"760.3";"0.0";"73";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"5.3";"8.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"1.4";"";"";"";"";"";"";
"28.10.2017 20:00";"8.2";"707.4";"759.8";"0.9";"59";"Wind blowing from the west-northwest";"6";"";"";"60%.";" ";"";"";"6.5";"11.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"18.0";"0.5";"No precipitation";"12";"";"";"";"";
"28.10.2017 17:00";"9.0";"706.5";"758.7";"0.2";"62";"Wind blowing from the north-west";"6";"";"";"90  or more, but not 100%";" ";"";"";"6.5";"11.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"2.1";"";"";"";"";"";"";
"28.10.2017 14:00";"11.2";"706.3";"758.2";"-1.2";"54";"Wind blowing from the west-northwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"6.5";"11.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"25.0";"2.2";"No precipitation";"6";"";"";"";"";
"28.10.2017 11:00";"8.0";"707.5";"760.0";"-0.2";"67";"Wind blowing from the west-northwest";"5";"";"";"70 – 80%.";" ";"";"";"6.5";"8.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"20.0";"2.2";"";"";"";"";"";"";
"28.10.2017 08:00";"6.8";"707.7";"760.4";"0.2";"83";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"6.2";"14.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"4.1";"5.0";"12";"";"";"";"";
"28.10.2017 05:00";"6.7";"707.5";"760.3";"0.7";"86";"Wind blowing from the west-southwest";"4";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"6.3";"14.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"1000-1500";"";"";"8.0";"4.5";"";"";"";"";"";"";
"28.10.2017 02:00";"10.0";"706.8";"758.8";"1.1";"69";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"9.6";"14.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"4.6";"Trace of precipitation";"6";"";"";"";"";
"27.10.2017 23:00";"10.8";"705.7";"757.4";"-0.2";"76";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"9.7";"12.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"18.0";"6.7";"";"";"";"";"";"";
"27.10.2017 20:00";"11.8";"705.9";"757.5";"-0.7";"76";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"3.9";"18.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"22.0";"7.6";"No precipitation";"12";"";"";"";"";
"27.10.2017 17:00";"16.9";"706.6";"757.3";"-2.2";"56";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"3.9";"18.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"28.0";"7.9";"";"";"";"";"";"";
"27.10.2017 14:00";"16.4";"708.8";"759.7";"-2.9";"57";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"3.9";"16.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"22.0";"7.9";"No precipitation";"6";"";"";"";"";
"27.10.2017 11:00";"11.2";"711.7";"763.8";"-1.5";"70";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"3.9";"11.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"18.0";"5.8";"";"";"";"";"";"";
"27.10.2017 08:00";"4.1";"713.2";"766.9";"-1.3";"88";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"2.4";"9.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"2.2";"No precipitation";"12";"";"";"";"";
"27.10.2017 05:00";"4.6";"714.5";"768.1";"-1.3";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"3.6";"9.8";"";"";"";"";"";"18.0";"3.7";"";"";"";"";"";"";
"27.10.2017 02:00";"4.8";"715.8";"769.5";"-0.6";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"9.8";"";"";"";"";"";"18.0";"3.9";"No precipitation";"6";"";"";"";"";
"26.10.2017 23:00";"6.8";"716.4";"769.7";"0.3";"92";"Wind blowing from the south";"1";"";"";"10%  or less, but not 0";" ";"";"";"6.5";"9.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"18.0";"5.5";"";"";"";"";"";"";
"26.10.2017 20:00";"9.6";"716.1";"768.8";"0.2";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.0";"16.0";"";"";"";"";"";"18.0";"6.7";"No precipitation";"12";"";"";"";"";
"26.10.2017 17:00";"14.8";"715.9";"767.6";"-0.9";"53";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"4.0";"16.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"22.0";"5.3";"";"";"";"";"";"";
"26.10.2017 14:00";"12.6";"716.8";"769.0";"-1.1";"64";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"4.0";"12.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"18.0";"6.0";"No precipitation";"6";"";"";"";"";
"26.10.2017 11:00";"7.4";"717.9";"771.2";"0.2";"81";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"4.0";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"8.0";"4.3";"";"";"";"";"";"";
"26.10.2017 08:00";"4.2";"717.7";"771.7";"0.6";"91";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"1.6";"6.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"8.0";"2.8";"No precipitation";"12";"";"";"";"";
"26.10.2017 05:00";"2.2";"717.1";"771.5";"0.3";"93";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"1.8";"6.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"12.0";"1.2";"";"";"";"";"";"";
"26.10.2017 02:00";"2.8";"716.8";"771.1";"0.0";"93";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"2.6";"6.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"12.0";"1.8";"No precipitation";"6";"";"";"";"";
"25.10.2017 23:00";"5.6";"716.8";"770.4";"0.2";"82";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"5.4";"6.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"15.0";"2.8";"";"";"";"";"";"";
"25.10.2017 20:00";"6.6";"716.6";"770.0";"0.6";"74";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"5.2";"7.8";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.3";"0.1";"12";"";"";"";"";
"25.10.2017 17:00";"7.2";"716.0";"769.3";"0.7";"70";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"5.5";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"15.0";"2.0";"";"";"";"";"";"";
"25.10.2017 14:00";"7.6";"715.3";"768.5";"1.8";"70";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"5.5";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"";"";"9.0";"2.5";"0.1";"6";"";"";"";"";
"25.10.2017 11:00";"6.6";"713.5";"766.7";"0.8";"77";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"5.5";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"2.9";"";"";"";"";"";"";
"25.10.2017 08:00";"5.7";"712.7";"766.0";"1.1";"90";"Wind blowing from the north-west";"1";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"5.5";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"8.0";"4.1";"0.5";"12";"";"";"";"";
"25.10.2017 05:00";"7.6";"711.6";"764.5";"1.7";"76";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.0";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"9.0";"3.5";"";"";"";"";"";"";
"25.10.2017 02:00";"7.8";"709.9";"762.6";"1.7";"89";"Wind blowing from the west";"2";"";"";"70 – 80%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.0";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"9.0";"6.1";"0.1";"6";"";"";"";"";
"24.10.2017 23:00";"7.6";"708.2";"760.8";"1.5";"92";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"7.0";"7.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.3";"";"";"";"";"";"";
"24.10.2017 20:00";"7.6";"706.7";"759.1";"2.9";"89";"Wind blowing from the west-southwest";"3";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"6.0";"8.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"5.9";"3.0";"12";"";"";"";"";
"24.10.2017 17:00";"7.9";"703.8";"756.0";"1.4";"90";"Wind blowing from the west";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"6.0";"8.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"6.4";"";"";"";"";"";"";
"24.10.2017 14:00";"8.4";"702.4";"754.3";"1.3";"87";"Wind blowing from the west-northwest";"2";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"6.0";"8.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"6.3";"2.0";"6";"";"";"";"";
"24.10.2017 11:00";"7.1";"701.1";"753.2";"0.8";"90";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"6.0";"7.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"5.6";"";"";"";"";"";"";
"24.10.2017 08:00";"6.2";"700.3";"752.6";"0.2";"88";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"5.4";"11.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.4";"12.0";"12";"";"";"";"";
