# Weather station Sofia (weather station), Bulgaria, WMO_ID=15614,selection from 16.01.2017 till 16.01.2018, all days
# Encoding: UTF-8
# The data are provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=15614&lang=en
#
"Local time in Sofia (weather station)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.01.2018 11:00";"-2.8";"716.5";"772.0";"0.5";"88";"Wind blowing from the east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-4.0";"-2.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"5.0";"-4.5";"";"";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"15.01.2018 08:00";"-3.3";"716.0";"771.5";"-0.8";"90";"Wind blowing from the south-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-4.1";"-1.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"5.0";"-4.7";"0.3";"12";"";"";"Uneven layer of loose dry snow covering ground completely.";"1.0";
"15.01.2018 05:00";"-2.8";"716.8";"772.3";"-0.8";"88";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.4";"-1.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"6.0";"-4.5";"";"";"";"";"";"";
"15.01.2018 02:00";"-2.4";"717.6";"773.0";"0.2";"81";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.8";"-1.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"10.0";"-5.3";"Trace of precipitation";"6";"";"";"";"";
"14.01.2018 23:00";"-2.2";"717.4";"772.7";"0.6";"81";"Wind blowing from the east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.5";"-1.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"12.0";"-5.1";"";"";"";"";"";"";
"14.01.2018 20:00";"-2.0";"716.8";"772.1";"0.0";"81";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.8";"-1.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"-4.8";"0.1";"12";"";"";"";"";
"14.01.2018 17:00";"-1.6";"716.8";"772.0";"0.0";"81";"Wind blowing from the east";"3";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-2.8";"-1.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"10.0";"-4.4";"";"";"";"";"";"";
"14.01.2018 14:00";"-1.4";"716.8";"771.9";"-0.2";"78";"Wind blowing from the east";"4";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.8";"-1.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"10.0";"-4.8";"0.1";"6";"";"";"";"";
"14.01.2018 11:00";"-2.0";"717.0";"772.3";"0.2";"92";"Wind blowing from the east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.8";"-1.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"12.0";"-3.1";"";"";"";"";"";"";
"14.01.2018 08:00";"-2.0";"716.8";"772.1";"0.7";"89";"Wind blowing from the east";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.8";"0.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"15.0";"-3.6";"Trace of precipitation";"12";"";"";"";"";
"14.01.2018 05:00";"-2.4";"716.1";"771.4";"0.1";"100";"Wind blowing from the east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-2.6";"0.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"-2.4";"";"";"";"";"";"";
"14.01.2018 02:00";"-1.8";"716.0";"771.1";"0.3";"100";"Wind blowing from the south-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-2.0";"0.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"-1.8";"Trace of precipitation";"6";"";"";"";"";
"13.01.2018 23:00";"-1.4";"715.7";"770.8";"0.5";"100";"Wind blowing from the south-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-1.5";"-0.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"-1.4";"";"";"";"";"";"";
"13.01.2018 20:00";"-0.8";"715.2";"770.0";"0.8";"96";"Wind blowing from the south-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-1.0";"1.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"-1.3";"0.2";"12";"";"";"";"";
"13.01.2018 17:00";"0.2";"714.4";"769.0";"0.1";"98";"Wind blowing from the east-southeast";"4";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Rain and snow or other types of solid precipitation";"Rain and snow or other types of solid precipitation";"-0.5";"1.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"-0.1";"";"";"";"";"";"";
